,Translated Tweets
2462,"ATTENTION‼️
TO ALL MY FRIENDS OUT THERE,
Please excuse me but I won't be online tomorrow. Therefore, postpone what you have to say because I have to dedicate that day to study and write. I hope you understand."
2463,"I'm lazy to study, I don't want online class fvck 😏"
2464,"I miss studying at school, I don't want to go online anymore 😐😐"
2465,I don't feel like studying anymore mehehehehe mom doesn't want to do online class anymore🥺🥺
2466,"Seriously, this online class just caused me stress. Losing the will to study."
2467,if it's online school next year you can study ponyeta 😭
2468,"i always say ""i'm lazy to study"" but tbh no i'm not really lazy it's just that it's really draining. sometimes you just lose the will to take online classes but trust me I'm trying :("
2469,"If that's what you plan to do, it's stupid of you to do it, I don't want to study anymore, I'm fed up with that online class damn it"
2470,"No regrets because I still tracked them online. Even online, they make me happy and they become my inspiration to study even though they don't know me.

@SB19Official
#STANWORLD #SB19"
2471,I'M TOO LAZY TO STUDY ONLINE!!
2472,So to assume that it's easy to study now because online is only online. No! Absolutely not.
2473,"There was a teacher who said that in the next grade the children had to learn something so they wouldn't be ""embarrassed"". lol It's really hard for people I know to study even if it's online class or modular learning."
2474,"It's been a few months since the online class started, but I'm still not used to studying with only a soft copy. You really need a hard copy because it's easier to study."
2475,It's super hard to keep up with the online class scheme. A lot of people are still willing to study but those who are higher don't care. The system that is only beautiful but has no change is ugly.
2476,"It's better to study f2f. When online, just go to bed."
2477,I DON'T WANT TO TAKE THIS ONLINE CLASS WTF!!! PROGRAMMING DOESN'T WORK 😭 MY BRAIN HURTS I'M STILL NOT DOING ANYTHING😭
2478,it's hard to study especially if it's an online class because of the weakness of the net I can't hear my prof properly
2479,I don't want to study math if it's an online class because for sure I'll rely on uncle there too 😐
2480,"I want to graduate!!

STUDYING ONLINE CLASS IS VERY LAZY AND DISAPPOINTING AND THEN CAN'T REFRESH DUE TO PANDEMIC 🤧"
2481,"I'm not lazy to study, and I didn't fall asleep in class during f2f either, but it was the online class that absorbed all my will and hard work😭"
2482,"it's really scary to study especially online class. I really can't handle it. I'm tired at home, tired from studying. my anxiety goes 📈📈 hsnxshh I'm afraid of the online class but I'm also afraid if I don't finish 🙂"
2483,"I can study even at home. Even Online Classes, Modules, ganern. I love you. I'm just really lazy that's why I took academin break. :)

Me, huh? I love you. But different, not e."
2484,"The difficulty of the online setting is that we forget that we are human, and that being a student/worker is just one facet of our lives. But because it's just there and not separated from the resting place, we feel like we always have to study/work."
2485,"@ChloeManalang_ No don't skip class. Mommy Riva said to study hard. So don't skip. You can do it. Even if it's an online school, you need to attend. You can do it."
2486,"I think that if there is no proper covid response and the next academic year is near, I might not study at first. It's a shame because the huge amount my parents pay every term. Imagine, almost 100k per academic year after only online classes"
2487,There is an ONLINE CLASS again tomorrow!!! I don't want to study
2488,"You'll ask me how my online class is and then if I say it's not ok you'll say it's just like wtf won't you lose the will to study because of the pile of work at school, dwindling mentality, and experiencing a falling nation?"
2489,I no longer enjoy studying while online classes take so long
2490,"It is difficult to study medicine in this era. Not in the topics being studied, but the future seems to be getting more and more bleak every day. No clinical experience. Yes, the learnings are online, but I feel that my future patients do not deserve that I am subpar."
2491,I don't want to study!!! boring online class!!!! 😭😭
2492,"Are you tired of your modules and tasks? Are you struggling to study in the middle of the pandemic? What is the situation of other students who cannot afford the online class?

Neolib educ later! LET'S ATTEND AND PARTICIPATE!

#JoinNDMOs #JoinAnakbayan #OUSTDUTERTENOW"
2493,It's boring to study when you think that it's possible to have an online class next school year 😫
2494,"I'm really lazy to study, it's not that I'm lazy but I'm losing my appetite for online classes. My best friends know that I study hard but now I'm losing my spark in studies. Huh 😭😭😭"
2495,"I really would appreciate if the classes will be suspended temporarily cuz we all can't afford to attend online classes peacefully. We all have our struggles kasi, imbis na mag-aral talaga ako i'd rather help my parents as of now, like honest to god 😭😭😭😭"
2496,"I saw my classmates' photos, they were dancing in the online class JAJAHAHAHAHAHAHAHA I don't want to study anymore😭🥲"
2497,I don't know how to study anymore 😭 damn you online classes
2498,"@JoshCullen_s @SB19Official Josh how do you motivate yourself when you're down? You want to give up but you have to fight. I'm having a hard time with my Accountancy course and then it's hard to set up an online class, sometimes I'm too lazy to study 😭

@SB19Official
#StanWorld #SB19"
2499,"can I just say that I'm super grateful for my college friends 🥺 I'm very extroverted so it's hard for me to study alone. the impact of the online class on me is great because it's really hard for me to study, but luckily I was shy in our study session"
2500,HOW EASY IS ONLINE CLASS??? YOU WILL STUDY HERE PUNYETA
2501,Hmmmmm. I'm thinking of studying again while there's still an option for online class because I'm scared 🤣🤣
2502,"shit, is this new IMG? who started school at 11 pm? Meanwhile, I used to go to bed at 8pm. This is due to online learning and pandemic grrr"
2503,"I lost my enthusiasm to study when it was the 2nd semester. All the energy I had in the 1st sem, is gone. I am too lazy to do the things we are asked to do. This online class is draining, I don't feel it. 🙂"
2504,"I suddenly missed studying again. I don't want online classes huh. It's like a trip to walk around the u-belt again, in the noisy, chaotic and smoky u-belt. I miss it even though I was told several times to take a jeep, I still walk along the recto. still really happy to study."
2505,"@ Racket
Dra: My BF is the top _ at PLE Nov. 2020.
Me: Oh really, Doc. That's why it seems like I've seen you on TV.
Dra: Online reviews are difficult, you are against yourself. But then, we will study together.

Study buddy is the key.
Lord, there are still a few months chz. 🤣"
2506,"Hi, I just want to say that I don't want to go to college with online classes anyway. It's hard and not fun.

I also don't want to see that there are people who can no longer go to school or college because the requirements of online learning are not met.

It's a shame to study"
2507,"it's another one. if the country's response to the pandemic is good, I hope we don't do online classes anymore. it's especially hard to study online"
2508,"Is it Taena? You will really be happy and able to study even in an online class if you feel and see that your Professor/Teacher is really making an effort just so that we students can learn something. Just like okay Sir I'll get better.

Minor subject to ah?"
2509,"When will this lockdown end? It's hard to study online especially for someone like me who is slow to pick up. Gosh!

@SB19Official #SB19"
2510,"I'm going to start my class next year, I'm going to study online, 😁"
2511,"ernan and I talked, when there are still online classes in college, we shouldn't study anymore HAHAHAHAHAHA bitch I'm in"
2512,"if only the boys at school were like this, I would really like to study online"
2513,"I don't want an online class, but I want to study. do you feel me"
2514,@JAYPHEN_ HAHAHAHA I'm too lazy to study if there's no quiz tomorrow I won't go to the online class anymore😒
2515,As a 4th year Educ student na this August and the possibility of having practicum... HOW CAN... HOW CAN I make them feel energetic in the online set-up when I myself di ko na alam paano mag-aral in this set-up ^______^
